epoch,step,loss_step,loss_epoch
0,49,411.92559814453125,
0,99,48.15819549560547,
0,149,144.89016723632812,
0,199,238.30392456054688,
0,249,22.031003952026367,
0,299,40.107704162597656,
0,299,,265.89239501953125
1,349,126.45698547363281,
1,399,81.96477508544922,
1,449,66.20052337646484,
1,499,142.7028350830078,
1,549,14.519157409667969,
1,599,35.53874588012695,
1,599,,53.20091247558594
2,649,98.67649841308594,
2,699,71.0684814453125,
2,749,55.09370803833008,
2,799,103.92375946044922,
2,849,14.325956344604492,
2,899,28.68918800354004,
2,899,,45.184226989746094
